Report_Id,Crime_Type,,Crime_Detail,Year_Key,Street_Address,Datetime
"1744504290366326","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2020-00179997","2400 BLOCK  CHASE PARK DR","8/29/2020 @ 8:40 PM"
"1744504290366326","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2020-00180308","2600 BLOCK  NORTHBELT DR","8/29/2020 @ 7:00 PM"
"1744504290366326","Theft / Larceny","","THEFT 4TH - FROM YARD","2020-00180335","3200 BLOCK  FAIRGROUND RD","8/29/2020 @ 6:00 PM"
"174450428813939b","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT","2020-00180361","3100 BLOCK  UPCHURCH CIR","8/30/2020 @ 2:20 PM"
"174450428813939b","Assault","","DOMESTIC VIOLENCE 3RD - MENACING - GUN","2020-00180166","1900 BLOCK  HILLDALE DR","8/30/2020 @ 9:15 AM"
"174450428813939b","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2020-00180270","800 BLOCK W  FAIRVIEW AV","8/29/2020 @ 5:00 AM"
"174450428813939b","Theft / Larceny","","THEFT 4TH - FROM YARD","2020-00180173","500 BLOCK  GLENMORE RD","8/29/2020 @ 12:30 AM"
"174450428813939b","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2020-00180359","300 BLOCK N  RIPLEY ST","8/25/2020 @ 3:15 PM"
"1743fd7f8e980905","Weapons","","DISCHARGE FIREARM INTO UNOCCUPIED BUILDING/VEHICLE","2020-00179983","100 BLOCK  MADISON AV","8/30/2020 @ 1:40 AM"
"1743fd7f8e980905","Weapons","","DISCHARGE FIREARM INTO UNOCCUPIED BUILDING/VEHICLE","2020-00180029","400 BLOCK  HEUSTESS ST","8/30/2020 @ 12:05 AM"
"1743fd7f8e980905","Robbery","","ROBBERY 1ST - STREET - GUN","2020-00179819","1900 BLOCK  HILLDALE DR","8/29/2020 @ 9:35 PM"
"1743fd7f8e980905","Theft / Larceny","","THEFT 4TH - SHOPLIFTING LESS THAN $500","2020-00179751","200 BLOCK W  FAIRVIEW AVE","8/29/2020 @ 7:45 PM"
"1743fd7f8e980905","Theft / Larceny","","THEFT 2ND - FIREARMS","2020-00179422","2300 BLOCK  COLLEGE ST","8/28/2020 @ 10:00 PM"
"1743fd7f8e980905","Theft / Larceny","","THEFT OF LOST PROPERTY 3RD $500.01 - $1499.99","2020-00179399","400 BLOCK S  UNION ST","8/28/2020 @ 2:00 PM"
"1743fd7f8e980905","Burglary","","BURGLARY 3RD -NON-RESIDENCE - FORCE","2020-00179446","1100 BLOCK  ROSA L PARKS AV","8/24/2020 @ 1:00 PM"
"1743fd7f82c34c9b","Theft / Larceny","","THEFT 4TH - FROM YARD","2020-00179716","1800 BLOCK  AUSTIN ST","8/29/2020 @ 6:30 PM"
"1743fd7f82c34c9b","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2020-00179442","2800 BLOCK  ASHLEY AV","8/28/2020 @ 11:00 PM"
"1743ab4c3c6aaf3d","Theft / Larceny","","THEFT 4TH - SHOPLIFTING LESS THAN $500","2020-00179000","0 BLOCK W  FAIRVIEW AV","8/28/2020 @ 6:00 PM"
"1743ab4c3c6aaf3d","Vandalism","","CRIMINAL MISCHIEF 3RD - DAMAGE TO BUSINESS PROPERTY","2020-00178771","1400 BLOCK  AARON ST","8/27/2020 @ 5:00 PM"
"1743ab4c3c6aaf3d","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2020-00178242","400 BLOCK W  FAIRVIEW AV","8/21/2020 @ 10:00 AM"
"1743ab4c2f1f0cc1","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2020-00178629","1600 BLOCK S  OAKVIEW CT","8/28/2020 @ 2:00 AM"
"1743591c8dc25745","Assault","","MENACING - AGG ASSAULT - GUN/KNIFE/OTHER WEAPON","2020-00178397","2100 BLOCK  DOROTHY ST","8/27/2020 @ 9:00 PM"
"1743591c8dc25745","Robbery","","ROBBERY 1ST - STREET - GUN","2020-00178377","1500 BLOCK  MT MEIGS RD","8/27/2020 @ 8:30 PM"
"1743591c8dc25745","Fraud","","THEFT 4TH - EMBEZZLEMENT - BUSINESS PROPERTY","2020-00178226","200 BLOCK S  JACKSON ST","8/27/2020 @ 4:30 PM"
"1743591c8dc25745","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2020-00177897","600 BLOCK  COLUMBIA AV","8/26/2020 @ 11:15 PM"
"1743591c8dc25745","Theft / Larceny","","THEFT 4TH - FROM YARD","2020-00178057","3400 BLOCK  WELLINGTON RD","8/26/2020 @ 7:00 PM"
"1743591c8dc25745","Weapons","","DISCHARGE FIREARM INTO UNOCCUPIED BUILDING/VEHICLE","2020-00178056","1000 BLOCK  EDGAR D NIXON AV","8/25/2020 @ 6:00 AM"
"1743591c8dc25745","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2020-00178229","DICKERSON ST  &  MARTHA ST","8/21/2020 @ 10:30 PM"
"1743591c8dc25745","Theft / Larceny","","THEFT 4TH - FROM YARD","2020-00178343","1500 BLOCK  WINONA AV","8/20/2020 @ 12:00 PM"
"1743591c8dc25745","Theft / Larceny","","THEFT 3RD - FROM RESIDENCE","2020-00178095","3300 BLOCK  NORMAN BRIDGE RD","8/13/2020 @ 1:00 PM"
"1743591c8405e011","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2020-00178149","2900 BLOCK  EL PASO CT","8/26/2020 @ 9:00 PM"
"1743591c8405e011","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2020-00177597","200 BLOCK AMANDA","8/26/2020 @ 8:15 PM"
"174306c8f6d9160c","Assault","","ASSAULT 3RD AGGRAVATED NON-FAMILY - OTHER WEAPON","2020-00177673","3000 BLOCK  ROSA L PARKS AV","8/26/2020 @ 9:33 PM"
"174306c8f6d9160c","Assault","","DISCHARGE FIREARM INTO OCCUPIED BUILDING/VEHICLE","2020-00177643","700 BLOCK W  FAIRVIEW AV","8/26/2020 @ 9:20 PM"
"174306c8f6d9160c","Assault","","HARASSMENT","2020-00177397","1700 BLOCK  PINE ST","8/26/2020 @ 1:30 PM"
"174306c8f6d9160c","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT","2020-00177381","2100 BLOCK  DOROTHY ST","8/26/2020 @ 1:20 PM"
"174306c8f6d9160c","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2020-00177211","200 BLOCK N  HOPPER ST","8/26/2020 @ 7:49 AM"
"174306c8f6d9160c","Burglary","","BURGLARY 3RD -NON-RESIDENCE - FORCE","2020-00177261","0 BLOCK S HOPPER ST","8/26/2020 @ 2:15 AM"
"174306c8f6d9160c","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2020-00177231","900 BLOCK  HILL ST","8/25/2020 @ 11:00 AM"
"174306c8f6d9160c","Assault","","HARASSMENT - SIMPLE ASSAULT","2020-00176594","500 BLOCK W  JEFF DAVIS AV","8/25/2020 @ 10:00 AM"
"174306c8f6d9160c","Theft / Larceny","","THEFT 4TH - VEHICLE PARTS","2020-00177234","1700 BLOCK  PINE ST","8/25/2020 @ 9:30 AM"
"174306c807854336","Vandalism","","CRIMINAL MISCHIEF 3RD - OTHER","2020-00177495","3000 BLOCK  GEORGE B EDMONDSON DR","8/26/2020 @ 4:30 PM"
"174306c807854336","Assault","","HARASSMENT","2020-00177259","3400 BLOCK  TEXAS ST","8/26/2020 @ 9:25 AM"
"1742b47f705980a9","Assault","","DISCHARGE FIREARM INTO OCCUPIED BUILDING/VEHICLE","2020-00176900","3400 BLOCK  GILMER AV","8/25/2020 @ 7:04 PM"
"1742b47f705980a9","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2020-00176882","1800 BLOCK  GIBBS CIR","8/25/2020 @ 5:37 PM"
"1742b47f705980a9","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2020-00176619","1900 BLOCK  HILLDALE DR","8/24/2020 @ 10:30 PM"
"1742b47f705980a9","Vandalism","","CRIMINAL MISCHIEF 3RD - OTHER","2020-00176599","500 BLOCK  ROSA L PARKS AVE","8/24/2020 @ 8:00 PM"
"1742b47f705980a9","Drugs / Alcohol Violations","","POSSESSION OF CONTROLLED SUBSTANCE - OBTAIN WITH FORGED/ALTERED PRESCRIPTION","2020-00176036","WOODROW ST","8/24/2020 @ 2:47 PM"
"1742b47f705980a9","Vandalism","","CRIMINAL MISCHIEF 2ND - DAMAGE TO PRIVATE PROPERTY","2020-00176574","300 BLOCK  MONTGOMERY ST","8/23/2020 @ 12:01 AM"
"1742b47f705980a9","Assault","","ASSAULT 3RD - SIMPLE ASSAULT","2020-00026795","600 BLOCK  MILDRED ST","8/18/2020 @ 10:10 AM"
"1742b47f705980a9","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2020-00176573","1600 BLOCK  OAK ST","8/15/2020 @ 6:00 PM"
"1742b47f616db15e","Motor Vehicle Theft","","UNAUTHORIZED USE OF VEHICLE - NO FORCE","2020-00176519","500 BLOCK  4TH ST","8/24/2020 @ 10:00 PM"
"17426301c1a73c54","Theft / Larceny","","THEFT 4TH - SHOPLIFTING LESS THAN $500","2020-00175984","3400 BLOCK  LOWER WETUMPKA RD","8/24/2020 @ 1:00 PM"
"17426301c1a73c54","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2020-00175754","900 BLOCK  PARKWOOD DR","8/23/2020 @ 5:00 PM"
"17426301c1a73c54","Burglary","","BURGLARY 3RD -NON-RESIDENCE - FORCE","2020-00175975","200 BLOCK  BROADWAY ST","8/21/2020 @ 8:00 PM"
"17426301be3368cd","Theft / Larceny","","THEFT 4TH - FROM A PUBLIC BUILDING","2020-00176191","400 BLOCK W  FAIRVIEW AV","8/24/2020 @ 7:30 PM"
"17426301be3368cd","Theft / Larceny","","THEFT 4TH - PICKPOCKET","2020-00176082","1900 BLOCK  HILLDALE DR","8/24/2020 @ 4:00 PM"
"17426301be3368cd","Fraud","","FRAUDULENT USE OF CREDIT/DEBIT CARD","2020-00175862","2200 BLOCK  AJAX ST","8/24/2020 @ 9:40 AM"
"17426301be3368cd","Theft / Larceny","","THEFT 4TH - VEHICLE PARTS","2020-00176034","800 BLOCK  ADELINE ST","8/24/2020 @ 12:00 AM"
"17426301be3368cd","Theft / Larceny","","THEFT 4TH - VEHICLE PARTS","2020-00175861","600 BLOCK S  LAWRENCE ST","8/23/2020 @ 11:00 PM"
"17426301be3368cd","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT","2020-00175558","2000 BLOCK  POTOMAC AV","8/23/2020 @ 8:30 PM"
